name,citrate,lysin,ornithine,urease,tda,nitrate,h2s,glucose,adonitol,lactose,arabinose,sorbitol
Salmonella Choleraesuis subspecies Salamae,positive,positive,positive,negative,negative,positive,positive,positive,negative,negative,positive,positive
Salmonella Enteridis,positive,positive,positive,negative,negative,positive,positive,positive,negative,negative,positive,positive
Salmonella Typhi,negative,positive,negative,negative,negative,positive,positive,positive,negative,negative,negative,positive
Serratia entomophila,positive,negative,negative,negative,negative,positive,negative,positive,negative,negative,negative,negative
Serratia ficaria,positive,negative,negative,negative,negative,positive,negative,positive,negative,v,positive,positive
Serratia fonticola,positive,positive,positive,v,negative,positive,negative,positive,positive,positive,positive,positive
Serratia marcescens,positive,positive,positive,v,negative,positive,negative,positive,v,negative,negative,positive
Serratia plymuthica,v,negative,negative,negative,negative,positive,negative,positive,negative,v,positive,v
Serratia odorifera( Biogroup I),positive,positive,positive,negative,negative,positive,negative,positive,v,v,positive,positive
Serratia odorifera( Biogroup II),positive,positive,negative,negative,negative,positive,negative,positive,v,positive,positive,positive
Serratia proteamaculans,positive,positive,positive,negative,negative,positive,negative,positive,negative,negative,positive,v
Serratia rubidaea,positive,v,negative,negative,negative,positive,negative,positive,positive,positive,positive,negative
"Shigella boydii, Shigella flexneri, Shigella dysenteriae",negative,negative,negative,negative,negative,positive,negative,positive,negative,negative,v,v
Shigella sonnei,negative,negative,positive,negative,negative,positive,negative,positive,negative,negative,positive,negative
Vibrio alginolyticus,negative,positive,v,negative,negative,positive,negative,positive,negative,negative,negative,negative
Vibrio cholerae,negative,positive,positive,positive,negative,negative,positive,negative,positive,negative,negative,negative
Vibrio cincinnatiensis,v,positive,negative,negative,negative,positive,negative,positive,negative,negative,positive,negative
Vibrio fluvialis,positive,negative,negative,negative,negative,positive,negative,positive,negative,negative,positive,negative
Vibrio furnissis,positive,negative,negative,negative,negative,positive,negative,positive,negative,negative,positive,negative
Vibrio harveyi,negative,positive,negative,negative,unknown,positive,negative,v,negative,negative,negative,negative
Vibrio hollisae,negative,negative,negative,negative,negative,positive,negative,positive,negative,negative,positive,negative
Vibrio metschnikovii,v,v,negative,negative,negative,negative,negative,positive,negative,v,negative,v
Vibrio mimicus,positive,positive,positive,negative,negative,positive,negative,positive,negative,v,negative,negative
Vibrio parahaemolyticus,negative,positive,positive,v,negative,positive,negative,positive,negative,negative,v,negative
Vibrio vulnificus,v,positive,v,negative,v,positive,negative,positive,negative,v,negative,negative
Yersinia enterocolitica,negative,negative,positive,v,negative,positive,negative,positive,negative,negative,positive,positive
Yersinia frederiksenii,v,negative,positive,v,negative,positive,negative,positive,negative,v,positive,positive
Yersinia intermedia,negative,negative,positive,v,negative,positive,negative,positive,negative,v,positive,positive
Yersinia pestis,negative,negative,negative,negative,negative,v,negative,positive,negative,negative,positive,v
Yersinia pseudotuberculosis,negative,negative,negative,positive,negative,positive,negative,positive,negative,negative,v,negative
